Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,7. Patuakhali Sadar Upazila,"22.3587792, 90.34523809999999",worker198,citizen198,Coordinator198,Planner198,sensor198,center198
,,8. Rangabali Upazila,"21.9040401, 90.4125181",worker199,citizen199,Coordinator199,Planner199,sensor199,center199
,Pirojpur District,1. Bhandaria Upazila,"22.4889287, 90.03473629999999",worker200,citizen200,Coordinator200,Planner200,sensor200,center200
,,2. Indurkani Upazila,"22.4857641, 89.9603461",worker201,citizen201,Coordinator201,Planner201,sensor201,center201
,,3. Kawkhali Upazila,"22.6074484, 90.08446599999999",worker202,citizen202,Coordinator202,Planner202,sensor202,center202
,,4. Mathbaria Upazila,"22.292034, 89.9580821",worker203,citizen203,Coordinator203,Planner203,sensor203,center203
,,5. Nazirpur Upazila,"22.7867163, 89.9813445",worker204,citizen204,Coordinator204,Planner204,sensor204,center204
,,6. Nesarabad (Swarupkati) Upazila,"22.7449644, 90.1167463",worker205,citizen205,Coordinator205,Planner205,sensor205,center205
,,7. Pirojpur Sadar Upazila,"22.5841393, 89.97207639999999",worker206,citizen206,Coordinator206,Planner206,sensor206,center206
Chittagong,Bandarban District,1. Ali Kadam Upazila,"21.6530087, 92.31476769999999",worker207,citizen207,Coordinator207,Planner207,sensor207,center207
,,2. Bandarban Sadar Upazila,"22.1960332, 92.21760630000001",worker208,citizen208,Coordinator208,Planner208,sensor208,center208
,,3. Lama Upazila,"21.7739055, 92.1968917",worker209,citizen209,Coordinator209,Planner209,sensor209,center209
,,4. Naikhongchhari Upazila,"21.4269481, 92.17572779999999",worker210,citizen210,Coordinator210,Planner210,sensor210,center210
,,5. Rowangchhari Upazila,"22.1832381, 92.3366846",worker211,citizen211,Coordinator211,Planner211,sensor211,center211
,,6. Ruma Upazila,"22.0554765, 92.3986731",worker212,citizen212,Coordinator212,Planner212,sensor212,center212
,,7. Thanchi Upazila,"21.8210961, 92.435696",worker213,citizen213,Coordinator213,Planner213,sensor213,center213
,Brahmanbaria District,1. Akhaura Upazila,"23.8673991, 91.2081173",worker214,citizen214,Coordinator214,Planner214,sensor214,center214
,,2. Bancharampur Upazila,"23.7731336, 90.80082139999999",worker215,citizen215,Coordinator215,Planner215,sensor215,center215
,,3. Brahmanbaria Sadar Upazila,"23.9674376, 91.1117536",worker216,citizen216,Coordinator216,Planner216,sensor216,center216
,,4. Kasba Upazila,"23.7473663, 91.1257167",worker217,citizen217,Coordinator217,Planner217,sensor217,center217
,,5. Nabinagar Upazila,"23.8884944, 90.9659192",worker218,citizen218,Coordinator218,Planner218,sensor218,center218
,,6. Nasirnagar Upazila,"24.1953566, 91.19837",worker219,citizen219,Coordinator219,Planner219,sensor219,center219
,,7. Sarail Upazila,"24.0745179, 91.1113216",worker220,citizen220,Coordinator220,Planner220,sensor220,center220
,,8. Ashuganj Upazila,"24.0385467, 91.003458",worker221,citizen221,Coordinator221,Planner221,sensor221,center221
,,9. Bijoynagar Upazila,"24.0141859, 91.2265536",worker222,citizen222,Coordinator222,Planner222,sensor222,center222
,Chandpur District,1. Chandpur Sadar Upazila,"23.2249389, 90.65472799999999",worker223,citizen223,Coordinator223,Planner223,sensor223,center223
,,2. Faridganj Upazila,"23.1274882, 90.75090449999999",worker224,citizen224,Coordinator224,Planner224,sensor224,center224
,,3. Haimchar Upazila,"23.0595392, 90.5919691",worker225,citizen225,Coordinator225,Planner225,sensor225,center225
,,4. Haziganj Upazila,"23.2508859, 90.8498709",worker226,citizen226,Coordinator226,Planner226,sensor226,center226
,,5. Kachua Upazila,"23.3431888, 90.8913478",worker227,citizen227,Coordinator227,Planner227,sensor227,center227
,,6. Matlab Dakshin Upazila,"23.344576, 90.7068188",worker228,citizen228,Coordinator228,Planner228,sensor228,center228
,,7. Matlab Uttar Upazila,"23.3837473, 90.61812789999999",worker229,citizen229,Coordinator229,Planner229,sensor229,center229
,,8. Shahrasti Upazila,"23.2306433, 90.9486223",worker230,citizen230,Coordinator230,Planner230,sensor230,center230
,Chittagong District,1. Anwara Upazila,"22.2337164, 91.8659809",worker231,citizen231,Coordinator231,Planner231,sensor231,center231
